A;B;Customers
CSI  + 03;Business_Loan  + 04;88
Fee_based_Services  + 07;Remmitances_In  + 08;88
Active_Payroll_Pension  - 08;Remmitances_Out  + 09;88
Debit_Cards_Prepaid_Cards  - 05;Fee_based_Services  - 06;88
Remmitances_In  - 11;Salary  - 12;88
Fee_based_Services  + 10;Salary  + 11;88
POS  - 03;Remmitances_Out  + 04;88
Total_Loan_Balances  - 06;Business_Loan  - 07;88
Home_Loans  - 03;Remmitances_Out  + 04;88
Public_Sector_Payments  + 10;Active_GS  - 11;88
Fee_based_Services  - 09;Total_Loan_Balances  - 10;88
Fee_based_Services  + 01;Remmitances_Out  + 02;88
Debit_Cards_Prepaid_Cards  - 11;Total_Loan_Balances  + 12;88
Active_GS  - 09;Public_Sector_Payments  - 10;88
Remmitances_In  + 10;Remmitances_Out  - 11;88
POS  - 04;Remmitances_In  - 05;88
Home_Loans  + 04;Card_Purchases  + 05;88
Credit_Cards  - 08;Salary  - 09;88
POS  - 04;Fee_based_Services  + 05;88
Credit_Cards  - 06;Public_Sector_Payments  - 07;88
Fee_based_Services  - 01;POS  - 02;88
Total_Loan_Balances  + 08;Credit_Cards  - 09;88
Debit_Cards_Prepaid_Cards  + 11;Total_Loan_Balances  - 12;87
Active_GS  + 01;Remmitances_In  + 02;87
POS  + 01;Fee_based_Services  + 02;87
Tax_Payments  - 11;Salary  - 12;87
Tax_Payments  + 11;EBanking_Usage  + 12;87
Credit_Cards  - 06;Debit_Cards_Prepaid_Cards  + 07;87
Remmitances_Out  + 04;Fee_based_Services  + 05;87
Salary  - 07;Credit_Cards  - 08;87
Debit_Cards_Prepaid_Cards  + 02;Fee_based_Services  - 03;87
Remmitances_In  + 09;Active_GS  + 10;87
Remmitances_In  + 09;Active_Payroll_Pension  + 10;87
Fee_based_Services  + 05;Debit_Cards_Prepaid_Cards  - 06;87
Fee_based_Services  + 06;Debit_Cards_Prepaid_Cards  - 07;87
CSI  + 10;Fee_based_Services  + 11;87
Credit_Cards  + 10;CSI  + 11;87
Branch_Transaction_Days  + 11;Debit_Cards_Prepaid_Cards  + 12;87
Card_Purchases  + 10;POS  - 11;86
Remmitances_In  - 11;CSI  - 12;86
AUM  - 11;POS  - 12;86
Public_Sector_Payments  - 09;Active_GS  - 10;86
Remmitances_Out  + 10;Public_Sector_Payments  + 11;86
Tax_Payments  + 10;Remmitances_In  - 11;86
Remmitances_Out  + 11;CSI  - 12;86
Active_Payroll_Pension  + 03;Fee_based_Services  + 04;86
Home_Loans  + 04;CSI  + 05;86
Business_Loan  + 01;ATM_Trans_Days  - 02;86
Active_Payroll_Pension  - 09;Remmitances_In  + 10;86
POS  + 11;AUM  + 12;86
Remmitances_Out  + 02;POS  + 03;86
Business_Loan  + 01;Total_Loan_Balances  - 02;86
Home_Loans  - 02;EBanking_Usage  + 03;86
Active_Payroll_Pension  - 10;CSI  - 11;86
Business_Loan  + 09;Total_Loan_Balances  + 10;86
Debit_Cards_Prepaid_Cards  + 11;Total_Loan_Balances  + 12;86
Credit_Cards  + 10;Total_Loan_Balances  - 11;86
Branch_Transaction_Days  + 02;Business_Loan  - 03;86
POS  + 10;Card_Purchases  + 11;85
Business_Loan  - 01;Tax_Payments  - 02;85
Card_Purchases  + 02;Home_Loans  + 03;85
CSI  - 07;POS  - 08;85
Home_Loans  + 06;ATM_Trans_Days  + 07;85
Branch_Transaction_Days  + 07;Home_Loans  - 08;85
Active_Payroll_Pension  - 08;Tax_Payments  + 09;85
Salary  + 08;Credit_Cards  - 09;85
Debit_Cards_Prepaid_Cards  + 07;Credit_Cards  + 08;85
Business_Loan  + 05;CSI  - 06;85
Total_Loan_Balances  - 11;Remmitances_In  + 12;85
Debit_Cards_Prepaid_Cards  + 11;Tax_Payments  - 12;85
Total_Loan_Balances  + 08;POS  + 09;85
Active_Payroll_Pension  + 01;Remmitances_In  + 02;85
Home_Loans  + 10;Total_Loan_Balances  + 11;85
POS  + 08;Total_Loan_Balances  - 09;85
Credit_Cards  + 11;ATM_Trans_Days  + 12;85
Credit_Cards  - 06;Debit_Cards_Prepaid_Cards  - 07;85
Credit_Cards  + 07;Credit_Cards  - 08;85
Credit_Cards  + 11;ATM_Trans_Days  - 12;85
POS  - 06;Total_Loan_Balances  - 07;85
Public_Sector_Payments  + 08;Fee_based_Services  + 09;85
POS  + 04;Remmitances_In  + 05;85
Public_Sector_Payments  + 10;Active_Payroll_Pension  - 11;84
AUM  - 11;POS  + 12;84
POS  + 04;Remmitances_Out  + 05;84
Remmitances_Out  - 01;Fee_based_Services  - 02;84
Business_Loan  + 06;AUM  - 07;84
Remmitances_Out  - 08;Fee_based_Services  + 09;84
Public_Sector_Payments  + 08;Credit_Cards  + 09;84
Home_Loans  - 08;Branch_Transaction_Days  - 09;84
Debit_Cards_Prepaid_Cards  + 05;Credit_Cards  - 06;84
Business_Loan  - 09;AUM  - 10;84
Total_Loan_Balances  + 09;Credit_Cards  + 10;84
Home_Loans  - 03;Remmitances_In  + 04;84
Remmitances_In  + 10;Remmitances_Out  + 11;84
Active_GS  + 03;Fee_based_Services  + 04;84
Fee_based_Services  + 05;Remmitances_Out  + 06;84
POS  - 04;Tax_Payments  - 05;84
Home_Loans  - 03;Remmitances_In  - 04;83
Home_Loans  + 06;AUM  + 07;83
Total_Loan_Balances  - 07;POS  + 08;83
Branch_Transaction_Days  - 10;Fee_based_Services  + 11;83
Public_Sector_Payments  + 07;Credit_Cards  - 08;83
Business_Loan  - 02;Public_Sector_Payments  + 03;83
Tax_Payments  - 03;Active_Payroll_Pension  - 04;83
Active_Payroll_Pension  - 03;Credit_Cards  + 04;83
Home_Loans  - 08;Tax_Payments  - 09;83
Public_Sector_Payments  + 10;Debit_Cards_Prepaid_Cards  + 11;83
AUM  + 07;Business_Loan  + 08;83
Public_Sector_Payments  - 05;POS  + 06;83
Salary  - 01;POS  + 02;83
Public_Sector_Payments  - 10;Public_Sector_Payments  + 11;83
Active_GS  - 11;Branch_Transaction_Days  + 12;83
Business_Loan  + 02;CSI  - 03;83
Remmitances_In  + 07;Fee_based_Services  + 08;83
Fee_based_Services  + 07;POS  - 08;83
Fee_based_Services  - 06;Remmitances_Out  + 07;83
Active_GS  - 08;Debit_Cards_Prepaid_Cards  + 09;83
Credit_Cards  - 06;Remmitances_Out  + 07;83
Active_GS  - 08;Tax_Payments  + 09;83
Remmitances_In  + 11;Branch_Transaction_Days  + 12;83
Fee_based_Services  - 05;Remmitances_Out  - 06;83
Home_Loans  + 03;Card_Purchases  + 04;83
POS  - 02;Fee_based_Services  + 03;83
Branch_Transaction_Days  + 11;Public_Sector_Payments  + 12;83
Business_Loan  + 01;Remmitances_In  - 02;82
Tax_Payments  + 09;Active_Payroll_Pension  - 10;82
Home_Loans  - 05;Public_Sector_Payments  - 06;82
Home_Loans  + 02;EBanking_Usage  + 03;82
Business_Loan  + 01;Branch_Transaction_Days  + 02;82
AUM  - 08;Business_Loan  - 09;82
EBanking_Usage  + 02;Home_Loans  - 03;82
Remmitances_Out  + 08;Active_GS  - 09;82
Remmitances_In  - 06;Fee_based_Services  - 07;82
CSI  + 11;Remmitances_Out  + 12;82
Tax_Payments  - 10;Tax_Payments  + 11;82
Home_Loans  + 02;Card_Purchases  + 03;82
POS  - 07;Public_Sector_Payments  + 08;82
Total_Loan_Balances  - 07;Business_Loan  - 08;82
POS  + 08;Total_Loan_Balances  + 09;82
Total_Loan_Balances  - 08;POS  - 09;82
CSI  - 02;Business_Loan  + 03;82
Total_Loan_Balances  - 11;Remmitances_In  - 12;82
Active_GS  - 03;Credit_Cards  + 04;82
Fee_based_Services  - 07;Public_Sector_Payments  + 08;82
Remmitances_Out  - 10;Remmitances_Out  + 11;82
Credit_Cards  - 07;Public_Sector_Payments  - 08;82
AUM  + 11;Credit_Cards  + 12;82
Salary  + 10;Tax_Payments  + 11;82
Remmitances_In  - 11;EBanking_Usage  - 12;82
Total_Loan_Balances  - 11;Remmitances_Out  + 12;82
Active_GS  + 05;Active_Payroll_Pension  + 06;82
Fee_based_Services  + 06;Remmitances_Out  + 07;82
ATM_Trans_Days  + 01;Business_Loan  - 02;82
POS  - 11;AUM  - 12;81
Home_Loans  + 05;Card_Purchases  + 06;81
AUM  + 05;Home_Loans  + 06;81
Fee_based_Services  - 02;Tax_Payments  - 03;81
Tax_Payments  + 09;Active_Payroll_Pension  + 10;81
Tax_Payments  + 09;Active_GS  + 10;81
Total_Loan_Balances  - 11;Remmitances_Out  - 12;81
POS  - 09;Branch_Transaction_Days  - 10;81
POS  + 06;Public_Sector_Payments  + 07;81
Remmitances_In  + 06;Credit_Cards  - 07;81
Remmitances_Out  + 08;Active_Payroll_Pension  - 09;81
Branch_Transaction_Days  - 11;Active_Payroll_Pension  + 12;81
Business_Loan  + 01;Card_Purchases  - 02;81
Home_Loans  - 05;Public_Sector_Payments  + 06;81
Credit_Cards  + 05;Debit_Cards_Prepaid_Cards  - 06;81
Credit_Cards  + 10;Branch_Transaction_Days  + 11;81
Remmitances_In  - 11;Total_Loan_Balances  - 12;81
Remmitances_Out  + 04;Credit_Cards  - 05;81
Debit_Cards_Prepaid_Cards  + 10;Remmitances_In  - 11;81
Credit_Cards  + 08;Remmitances_Out  - 09;81
Remmitances_In  + 02;POS  + 03;81
Fee_based_Services  + 04;Remmitances_Out  + 05;81
Home_Loans  - 06;Salary  - 07;81
Remmitances_In  + 05;Credit_Cards  - 06;81
Debit_Cards_Prepaid_Cards  - 07;Fee_based_Services  + 08;81
Debit_Cards_Prepaid_Cards  + 05;Fee_based_Services  - 06;80
Business_Loan  - 02;ATM_Trans_Days  + 03;80
Public_Sector_Payments  - 10;Debit_Cards_Prepaid_Cards  + 11;80
Remmitances_Out  - 01;Credit_Cards  - 02;80
Remmitances_Out  - 04;Credit_Cards  - 05;80
Debit_Cards_Prepaid_Cards  - 11;CSI  - 12;80
Home_Loans  - 09;Card_Purchases  - 10;80
Salary  - 11;Public_Sector_Payments  + 12;80
Fee_based_Services  + 09;Salary  - 10;80
ATM_Trans_Days  + 06;Home_Loans  + 07;80
Tax_Payments  + 09;Active_GS  - 10;80
Branch_Transaction_Days  + 09;Credit_Cards  - 10;80
EBanking_Usage  - 10;Fee_based_Services  - 11;80
Active_GS  + 04;Active_Payroll_Pension  + 05;80
AUM  - 08;Home_Loans  + 09;80
ATM_Trans_Days  + 11;Credit_Cards  + 12;80
Credit_Cards  - 07;Remmitances_In  - 08;80
Branch_Transaction_Days  + 09;POS  + 10;80
CSI  + 11;Public_Sector_Payments  + 12;80
POS  - 10;Card_Purchases  + 11;79
Remmitances_Out  + 09;Tax_Payments  + 10;79
CSI  + 07;Home_Loans  + 08;79
Public_Sector_Payments  + 06;Credit_Cards  - 07;79
Debit_Cards_Prepaid_Cards  + 04;Credit_Cards  - 05;79
Business_Loan  - 02;Total_Loan_Balances  + 03;79
Remmitances_Out  + 11;Total_Loan_Balances  + 12;79
POS  - 01;Debit_Cards_Prepaid_Cards  - 02;79
Tax_Payments  + 09;Debit_Cards_Prepaid_Cards  + 10;79
CSI  - 11;Active_GS  - 12;79
Remmitances_Out  + 11;EBanking_Usage  - 12;79
Card_Purchases  + 01;Business_Loan  - 02;79
CSI  - 01;Business_Loan  + 02;79
Tax_Payments  - 05;POS  - 06;79
Branch_Transaction_Days  + 10;Credit_Cards  + 11;79
CSI  - 05;Business_Loan  + 06;79
Fee_based_Services  + 02;Remmitances_Out  + 03;79
Active_Payroll_Pension  - 10;Public_Sector_Payments  - 11;79
POS  - 06;Public_Sector_Payments  + 07;79
Fee_based_Services  - 10;Tax_Payments  - 11;79
Tax_Payments  + 05;Home_Loans  - 06;79
Active_Payroll_Pension  - 11;Branch_Transaction_Days  + 12;78
Active_Payroll_Pension  - 08;Debit_Cards_Prepaid_Cards  + 09;78
Branch_Transaction_Days  - 11;Active_GS  + 12;78
Public_Sector_Payments  - 06;POS  - 07;78
Branch_Transaction_Days  - 02;Business_Loan  - 03;78
POS  - 03;Tax_Payments  - 04;78
Remmitances_In  + 03;POS  - 04;78
AUM  - 01;Home_Loans  + 02;78
Salary  + 11;Active_GS  - 12;78
Remmitances_Out  - 10;Active_Payroll_Pension  - 11;78
POS  - 09;EBanking_Usage  - 10;78
Debit_Cards_Prepaid_Cards  + 05;POS  + 06;78
Home_Loans  - 04;Tax_Payments  + 05;78
Total_Loan_Balances  - 04;POS  - 05;78
Public_Sector_Payments  + 11;Debit_Cards_Prepaid_Cards  - 12;78
CSI  - 11;Remmitances_Out  - 12;78
Home_Loans  - 05;Total_Loan_Balances  + 06;78
Home_Loans  - 04;Salary  + 05;78
POS  - 03;Debit_Cards_Prepaid_Cards  - 04;78
Credit_Cards  - 02;Active_GS  - 03;78
Remmitances_In  - 11;Branch_Transaction_Days  + 12;78
Debit_Cards_Prepaid_Cards  - 07;Credit_Cards  + 08;78
EBanking_Usage  - 08;POS  - 09;78
CSI  + 07;Business_Loan  - 08;78
Fee_based_Services  + 10;Branch_Transaction_Days  - 11;77
Active_GS  - 10;Public_Sector_Payments  - 11;77
Credit_Cards  + 11;AUM  - 12;77
Total_Loan_Balances  + 09;Credit_Cards  - 10;77
Home_Loans  - 07;Salary  - 08;77
Business_Loan  + 05;Card_Purchases  + 06;77
Fee_based_Services  + 11;ATM_Trans_Days  + 12;77
Total_Loan_Balances  + 11;Debit_Cards_Prepaid_Cards  - 12;77
Branch_Transaction_Days  - 09;POS  - 10;77
Remmitances_Out  - 10;Active_GS  - 11;77
Remmitances_Out  - 05;POS  + 06;77
Tax_Payments  + 08;POS  - 09;77
POS  - 03;Debit_Cards_Prepaid_Cards  + 04;77
Fee_based_Services  + 08;Remmitances_Out  - 09;77
CSI  - 06;Business_Loan  + 07;77
Debit_Cards_Prepaid_Cards  - 09;Active_GS  - 10;77
Home_Loans  - 08;CSI  + 09;77
Home_Loans  - 05;Remmitances_Out  + 06;77
Tax_Payments  - 11;EBanking_Usage  - 12;77
Public_Sector_Payments  + 08;Fee_based_Services  - 09;77
Business_Loan  - 01;Public_Sector_Payments  - 02;77
EBanking_Usage  - 11;Active_GS  - 12;77
Fee_based_Services  + 06;Fee_based_Services  - 07;77
Home_Loans  - 04;Remmitances_In  - 05;77
EBanking_Usage  - 11;Remmitances_Out  - 12;77
POS  + 07;Fee_based_Services  + 08;76
Active_Payroll_Pension  - 09;Tax_Payments  + 10;76
POS  - 05;Public_Sector_Payments  + 06;76
Total_Loan_Balances  - 11;Debit_Cards_Prepaid_Cards  + 12;76
POS  - 01;Debit_Cards_Prepaid_Cards  + 02;76
Credit_Cards  + 08;Credit_Cards  - 09;76
Home_Loans  - 06;Remmitances_Out  - 07;76
Remmitances_Out  - 01;POS  - 02;76
Debit_Cards_Prepaid_Cards  + 03;POS  - 04;76
POS  - 05;Fee_based_Services  + 06;76
AUM  + 07;Home_Loans  + 08;76
Remmitances_In  - 07;Fee_based_Services  - 08;76
Tax_Payments  + 01;Business_Loan  - 02;76
Tax_Payments  + 11;EBanking_Usage  - 12;76
POS  + 07;Public_Sector_Payments  - 08;76
EBanking_Usage  + 09;Credit_Cards  - 10;76
Branch_Transaction_Days  - 10;Fee_based_Services  - 11;76
Salary  - 11;Public_Sector_Payments  - 12;76
Active_GS  - 09;Tax_Payments  + 10;76
Credit_Cards  + 11;EBanking_Usage  + 12;76
Remmitances_Out  + 09;Active_Payroll_Pension  - 10;76
Active_GS  - 03;Fee_based_Services  + 04;76
Credit_Cards  - 07;Debit_Cards_Prepaid_Cards  - 08;76
Debit_Cards_Prepaid_Cards  - 02;POS  - 03;76
Remmitances_In  + 09;Active_Payroll_Pension  - 10;75
Debit_Cards_Prepaid_Cards  - 10;Remmitances_Out  - 11;75
Credit_Cards  + 02;Remmitances_Out  + 03;75
Debit_Cards_Prepaid_Cards  - 09;Active_Payroll_Pension  - 10;75
EBanking_Usage  - 09;POS  - 10;75
Card_Purchases  - 08;Home_Loans  - 09;75
Business_Loan  - 07;Total_Loan_Balances  - 08;75
Remmitances_In  + 09;Tax_Payments  + 10;75
POS  - 08;Public_Sector_Payments  + 09;75
Active_Payroll_Pension  - 03;Fee_based_Services  + 04;75
Tax_Payments  + 11;CSI  - 12;75
Remmitances_Out  + 09;Active_GS  - 10;75
Home_Loans  + 07;ATM_Trans_Days  + 08;75
Home_Loans  - 06;Public_Sector_Payments  - 07;75
Remmitances_Out  + 03;POS  - 04;75
Remmitances_In  + 09;Active_GS  - 10;75
Credit_Cards  + 10;CSI  - 11;75
Home_Loans  + 05;CSI  + 06;75
Public_Sector_Payments  + 09;Credit_Cards  + 10;75
Debit_Cards_Prepaid_Cards  + 06;Credit_Cards  - 07;75
Total_Loan_Balances  - 10;Fee_based_Services  - 11;75
Credit_Cards  + 01;Remmitances_Out  + 02;75
Home_Loans  - 05;Remmitances_In  + 06;74
POS  - 11;AUM  + 12;74
Active_GS  + 04;Fee_based_Services  + 05;74
Salary  + 11;Public_Sector_Payments  + 12;74
Tax_Payments  + 10;Debit_Cards_Prepaid_Cards  - 11;74
Fee_based_Services  + 09;Public_Sector_Payments  + 10;74
Fee_based_Services  - 10;Fee_based_Services  + 11;74
EBanking_Usage  - 11;Active_Payroll_Pension  - 12;74
Remmitances_Out  + 03;Fee_based_Services  - 04;74
ATM_Trans_Days  - 11;Fee_based_Services  - 12;74
EBanking_Usage  + 11;Public_Sector_Payments  + 12;74
Remmitances_In  - 05;POS  - 06;74
POS  - 09;Tax_Payments  - 10;74
Remmitances_In  - 09;Fee_based_Services  + 10;74
Home_Loans  - 05;Remmitances_In  - 06;74
Branch_Transaction_Days  + 11;Remmitances_Out  + 12;74
Business_Loan  + 01;Public_Sector_Payments  - 02;74
Salary  - 11;Remmitances_In  - 12;74
Business_Loan  - 03;Branch_Transaction_Days  - 04;74
Remmitances_Out  + 06;Credit_Cards  + 07;73
Card_Purchases  + 07;Home_Loans  + 08;73
Salary  - 09;Credit_Cards  - 10;73
Credit_Cards  - 02;Active_Payroll_Pension  - 03;73
Fee_based_Services  + 07;Debit_Cards_Prepaid_Cards  + 08;73
Salary  + 11;Active_Payroll_Pension  - 12;73
EBanking_Usage  + 11;Active_GS  - 12;73
POS  - 02;Tax_Payments  - 03;73
Public_Sector_Payments  - 11;CSI  - 12;73
Credit_Cards  + 09;Public_Sector_Payments  - 10;73
ATM_Trans_Days  - 11;Credit_Cards  + 12;73
Fee_based_Services  + 01;Active_GS  - 02;73
Credit_Cards  - 06;Remmitances_Out  - 07;73
Debit_Cards_Prepaid_Cards  - 06;Credit_Cards  - 07;73
POS  + 02;Fee_based_Services  - 03;73
Branch_Transaction_Days  - 11;Remmitances_Out  - 12;73
POS  + 06;Remmitances_Out  - 07;72
POS  - 09;EBanking_Usage  + 10;72
Fee_based_Services  + 01;Active_Payroll_Pension  - 02;72
Total_Loan_Balances  - 08;Credit_Cards  + 09;72
Fee_based_Services  + 02;POS  + 03;72
Total_Loan_Balances  - 09;POS  + 10;72
Branch_Transaction_Days  - 07;Home_Loans  - 08;72
Fee_based_Services  - 10;CSI  - 11;72
Active_Payroll_Pension  + 04;Fee_based_Services  + 05;72
Debit_Cards_Prepaid_Cards  + 09;Debit_Cards_Prepaid_Cards  - 10;72
Active_GS  - 03;Fee_based_Services  - 04;72
EBanking_Usage  - 10;Credit_Cards  + 11;72
Remmitances_Out  + 03;POS  + 04;72
Remmitances_In  - 10;Debit_Cards_Prepaid_Cards  - 11;72
Card_Purchases  + 02;Home_Loans  - 03;72
Fee_based_Services  - 08;Public_Sector_Payments  + 09;72
Business_Loan  - 07;CSI  + 08;72
Remmitances_Out  + 05;Fee_based_Services  - 06;72
Home_Loans  - 07;EBanking_Usage  + 08;72
Fee_based_Services  + 07;Debit_Cards_Prepaid_Cards  - 08;72
POS  - 01;Salary  + 02;72
Business_Loan  + 08;AUM  + 09;71
Remmitances_Out  + 11;Total_Loan_Balances  - 12;71
Tax_Payments  - 04;POS  - 05;71
Debit_Cards_Prepaid_Cards  + 07;Fee_based_Services  + 08;71
Card_Purchases  - 11;Fee_based_Services  + 12;71
EBanking_Usage  - 01;Business_Loan  - 02;71
Credit_Cards  + 08;Public_Sector_Payments  + 09;71
Remmitances_In  + 11;Total_Loan_Balances  - 12;71
Debit_Cards_Prepaid_Cards  + 01;Fee_based_Services  - 02;71
Credit_Cards  + 05;Active_Payroll_Pension  + 06;71
Credit_Cards  + 04;Active_Payroll_Pension  + 05;71
ATM_Trans_Days  - 07;Business_Loan  - 08;71
Credit_Cards  - 07;Remmitances_Out  - 08;71
Fee_based_Services  - 07;Salary  - 08;71
Card_Purchases  + 11;Fee_based_Services  + 12;71
Public_Sector_Payments  - 11;Branch_Transaction_Days  - 12;71
Home_Loans  + 05;AUM  + 06;71
Business_Loan  - 04;Branch_Transaction_Days  - 05;71
Public_Sector_Payments  - 07;Credit_Cards  - 08;71
CSI  + 06;Home_Loans  + 07;71
Branch_Transaction_Days  - 09;Branch_Transaction_Days  - 10;71
Public_Sector_Payments  + 03;Business_Loan  - 04;71
Credit_Cards  + 05;Remmitances_Out  + 06;71
Business_Loan  + 01;ATM_Trans_Days  + 02;71
POS  + 11;AUM  - 12;71
CSI  + 04;Business_Loan  + 05;71
Active_GS  + 10;Remmitances_In  - 11;70
Credit_Cards  - 07;Debit_Cards_Prepaid_Cards  + 08;70
Active_GS  + 01;Remmitances_Out  + 02;70
Tax_Payments  - 03;Fee_based_Services  - 04;70
Card_Purchases  + 10;POS  + 11;70
Tax_Payments  - 11;Remmitances_Out  - 12;70
POS  + 06;Debit_Cards_Prepaid_Cards  + 07;70
Tax_Payments  + 11;Branch_Transaction_Days  + 12;70
Home_Loans  - 09;Card_Purchases  + 10;70
Business_Loan  - 01;Remmitances_Out  - 02;70
Debit_Cards_Prepaid_Cards  + 11;Branch_Transaction_Days  + 12;70
POS  - 09;Total_Loan_Balances  - 10;70
Branch_Transaction_Days  + 03;Business_Loan  - 04;70
Public_Sector_Payments  - 07;Fee_based_Services  - 08;70
Salary  - 07;Fee_based_Services  - 08;70
Remmitances_In  + 06;Fee_based_Services  - 07;70
Salary  - 09;Fee_based_Services  - 10;70
Fee_based_Services  - 02;Active_Payroll_Pension  - 03;70
Credit_Cards  + 11;Tax_Payments  - 12;70
CSI  - 06;Business_Loan  - 07;70
Tax_Payments  - 09;POS  - 10;70
POS  - 01;Remmitances_Out  - 02;70
Remmitances_Out  + 06;Fee_based_Services  + 07;70
Total_Loan_Balances  + 08;POS  - 09;70
Fee_based_Services  + 07;Fee_based_Services  - 08;69
Credit_Cards  + 04;Active_GS  + 05;69
Remmitances_In  - 04;POS  - 05;69
Public_Sector_Payments  + 08;Credit_Cards  - 09;69
Credit_Cards  + 11;Card_Purchases  + 12;69
AUM  + 11;POS  - 12;69
Debit_Cards_Prepaid_Cards  + 01;POS  - 02;69
POS  + 09;CSI  + 10;69
EBanking_Usage  - 05;Home_Loans  - 06;69
Debit_Cards_Prepaid_Cards  + 08;Fee_based_Services  + 09;69
Business_Loan  - 07;ATM_Trans_Days  - 08;69
Home_Loans  - 06;EBanking_Usage  + 07;69
Fee_based_Services  - 09;Salary  + 10;69
Debit_Cards_Prepaid_Cards  + 09;Active_Payroll_Pension  + 10;69
Remmitances_Out  - 05;Credit_Cards  - 06;69
Public_Sector_Payments  + 11;Salary  - 12;69
Active_Payroll_Pension  + 10;Remmitances_In  - 11;69
Debit_Cards_Prepaid_Cards  - 06;Fee_based_Services  - 07;69
EBanking_Usage  + 09;POS  - 10;69
Card_Purchases  + 06;Home_Loans  + 07;69
CSI  - 11;Debit_Cards_Prepaid_Cards  - 12;69
Debit_Cards_Prepaid_Cards  + 10;Active_Payroll_Pension  + 11;68
CSI  + 10;Credit_Cards  - 11;68
Remmitances_In  - 09;Credit_Cards  + 10;68
Active_Payroll_Pension  + 06;Fee_based_Services  + 07;68
Remmitances_Out  - 06;Credit_Cards  - 07;68
Salary  - 10;Credit_Cards  + 11;68
Home_Loans  - 08;Branch_Transaction_Days  + 09;68
Debit_Cards_Prepaid_Cards  + 09;Active_GS  + 10;68
Remmitances_Out  - 11;CSI  - 12;68
Active_Payroll_Pension  + 01;Remmitances_Out  + 02;68
Public_Sector_Payments  + 05;Home_Loans  - 06;68
Home_Loans  - 04;Remmitances_In  + 05;68
Debit_Cards_Prepaid_Cards  + 10;Active_GS  + 11;68
Public_Sector_Payments  - 06;POS  + 07;68
Active_GS  + 09;Remmitances_Out  + 10;68
Salary  + 11;Remmitances_Out  + 12;68
ATM_Trans_Days  - 03;Home_Loans  + 04;68
EBanking_Usage  + 11;Active_Payroll_Pension  - 12;68
Active_Payroll_Pension  + 10;CSI  - 11;67
Active_GS  + 10;Remmitances_In  + 11;67
Home_Loans  - 04;Total_Loan_Balances  + 05;67
AUM  - 11;Credit_Cards  - 12;67
Business_Loan  + 04;Card_Purchases  + 05;67
Credit_Cards  + 05;Active_GS  + 06;67
POS  - 06;Remmitances_In  - 07;67
Salary  - 11;Remmitances_In  + 12;67
POS  - 05;Public_Sector_Payments  - 06;67
Salary  + 10;Credit_Cards  + 11;67
Remmitances_Out  - 11;Total_Loan_Balances  - 12;67
Active_GS  + 06;Fee_based_Services  + 07;67
Fee_based_Services  + 08;Debit_Cards_Prepaid_Cards  + 09;67
Fee_based_Services  - 03;POS  - 04;67
Active_Payroll_Pension  + 10;Remmitances_In  + 11;67
Fee_based_Services  - 02;Active_GS  - 03;67
Remmitances_Out  - 07;Credit_Cards  - 08;67
POS  + 08;EBanking_Usage  - 09;67
POS  + 05;Debit_Cards_Prepaid_Cards  - 06;67
AUM  + 11;Fee_based_Services  - 12;67
POS  - 10;Branch_Transaction_Days  - 11;67
Business_Loan  - 06;ATM_Trans_Days  - 07;66
Fee_based_Services  - 10;EBanking_Usage  + 11;66
Debit_Cards_Prepaid_Cards  + 11;CSI  + 12;66
POS  + 02;Remmitances_In  + 03;66
Branch_Transaction_Days  - 11;Remmitances_Out  + 12;66
Active_Payroll_Pension  + 09;Remmitances_Out  + 10;66
Fee_based_Services  - 06;Debit_Cards_Prepaid_Cards  + 07;66
CSI  - 11;Tax_Payments  + 12;66
Credit_Cards  - 08;Public_Sector_Payments  + 09;66
ATM_Trans_Days  + 08;Home_Loans  + 09;66
Credit_Cards  - 10;Tax_Payments  - 11;66
Home_Loans  - 04;EBanking_Usage  - 05;66
Remmitances_In  - 06;POS  + 07;66
Tax_Payments  + 11;Branch_Transaction_Days  - 12;66
Remmitances_Out  + 07;Fee_based_Services  + 08;66
POS  + 09;Total_Loan_Balances  + 10;66
Branch_Transaction_Days  - 05;Business_Loan  - 06;66
Public_Sector_Payments  + 09;Fee_based_Services  + 10;66
Tax_Payments  + 10;Remmitances_Out  + 11;66
Branch_Transaction_Days  - 10;Credit_Cards  + 11;66
Home_Loans  + 02;Branch_Transaction_Days  + 03;66
Branch_Transaction_Days  + 11;Active_GS  - 12;65
Debit_Cards_Prepaid_Cards  + 10;Public_Sector_Payments  + 11;65
Business_Loan  + 02;Branch_Transaction_Days  + 03;65
Total_Loan_Balances  + 11;Active_Payroll_Pension  - 12;65
Remmitances_In  + 08;Credit_Cards  + 09;65
Credit_Cards  + 07;Remmitances_In  + 08;65
Total_Loan_Balances  + 11;Active_GS  - 12;65
EBanking_Usage  + 06;Home_Loans  - 07;65
Public_Sector_Payments  - 05;Credit_Cards  - 06;65
Debit_Cards_Prepaid_Cards  - 08;Fee_based_Services  + 09;65
EBanking_Usage  - 07;Home_Loans  - 08;65
Home_Loans  + 08;AUM  + 09;65
Home_Loans  + 01;Remmitances_In  - 02;65
Credit_Cards  + 09;Remmitances_In  - 10;65
EBanking_Usage  + 03;Home_Loans  - 04;65
Fee_based_Services  + 08;Remmitances_In  + 09;65
Credit_Cards  - 10;EBanking_Usage  + 11;65
